"","X","pop","abs","tempo","conc","experiment"
"1",1,"REF",0.272,1,"0","EXP1"
"2",2,"GSH1",0.254,1,"0","EXP1"
"3",3,"C6",0.258,1,"0","EXP1"
"4",4,"C7",0.259,1,"0","EXP1"
"5",5,"C44",0.541,1,"0","EXP1"
"6",6,"C58",0.251,1,"0","EXP1"
"7",7,"C67",0.265,1,"0","EXP1"
"8",8,"C73",0.245,1,"0","EXP1"
"9",9,"C85",0.251,1,"0","EXP1"
"10",10,"C89",0.254,1,"0","EXP1"
"11",11,"REF",0.271,1,"0","EXP1"
"12",12,"GSH1",0.263,1,"0","EXP1"
"13",13,"C6",0.238,1,"0","EXP1"
"14",14,"C7",0.255,1,"0","EXP1"
"15",15,"C44",0.263,1,"0","EXP1"
"16",16,"C58",0.248,1,"0","EXP1"
"17",17,"C67",0.311,1,"0","EXP1"
"18",18,"C73",0.253,1,"0","EXP1"
"19",19,"C85",0.252,1,"0","EXP1"
"20",20,"C89",0.253,1,"0","EXP1"
"21",21,"REF",0.277,1,"0","EXP1"
"22",22,"GSH1",0.244,1,"0","EXP1"
"23",23,"C6",0.251,1,"0","EXP1"
"24",24,"C7",0.253,1,"0","EXP1"
"25",25,"C44",0.255,1,"0","EXP1"
"26",26,"C58",0.264,1,"0","EXP1"
"27",27,"C67",0.289,1,"0","EXP1"
"28",28,"C73",0.275,1,"0","EXP1"
"29",29,"C85",0.252,1,"0","EXP1"
"30",30,"C89",0.202,1,"0","EXP1"
"31",31,"REF",0.277,1,"150","EXP1"
"32",32,"GSH1",0.254,1,"150","EXP1"
"33",33,"C6",0.27,1,"150","EXP1"
"34",34,"C7",0.285,1,"150","EXP1"
"35",35,"C44",0.283,1,"150","EXP1"
"36",36,"C58",0.276,1,"150","EXP1"
"37",37,"C67",0.274,1,"150","EXP1"
"38",38,"C73",0.279,1,"150","EXP1"
"39",39,"C85",0.283,1,"150","EXP1"
"40",40,"C89",0.22,1,"150","EXP1"
"41",41,"REF",0.298,1,"150","EXP1"
"42",42,"GSH1",0.276,1,"150","EXP1"
"43",43,"C6",0.279,1,"150","EXP1"
"44",44,"C7",0.296,1,"150","EXP1"
"45",45,"C44",0.312,1,"150","EXP1"
"46",46,"C58",0.298,1,"150","EXP1"
"47",47,"C67",0.293,1,"150","EXP1"
"48",48,"C73",0.281,1,"150","EXP1"
"49",49,"C85",0.275,1,"150","EXP1"
"50",50,"C89",0.266,1,"150","EXP1"
"51",51,"REF",0.32,1,"150","EXP1"
"52",52,"GSH1",0.386,1,"150","EXP1"
"53",53,"C6",0.3,1,"150","EXP1"
"54",54,"C7",0.284,1,"150","EXP1"
"55",55,"C44",0.295,1,"150","EXP1"
"56",56,"C58",0.283,1,"150","EXP1"
"57",57,"C67",0.288,1,"150","EXP1"
"58",58,"C73",0.291,1,"150","EXP1"
"59",59,"C85",0.273,1,"150","EXP1"
"60",60,"C89",0.318,1,"150","EXP1"
"61",61,"REF",0.335,1,"0","EXP2"
"62",62,"GSH1",0.264,1,"0","EXP2"
"63",63,"C6",0.268,1,"0","EXP2"
"64",64,"C7",0.635,1,"0","EXP2"
"65",65,"C44",0.217,1,"0","EXP2"
"66",66,"C58",1.348,1,"0","EXP2"
"67",67,"C67",0.212,1,"0","EXP2"
"68",68,"C73",1.385,1,"0","EXP2"
"69",69,"C85",0.274,1,"0","EXP2"
"70",70,"C89",1.34,1,"0","EXP2"
"71",71,"REF",0.242,1,"0","EXP2"
"72",72,"GSH1",0.239,1,"0","EXP2"
"73",73,"C6",0.242,1,"0","EXP2"
"74",74,"C7",0.446,1,"0","EXP2"
"75",75,"C44",0.212,1,"0","EXP2"
"76",76,"C58",0.402,1,"0","EXP2"
"77",77,"C67",0.209,1,"0","EXP2"
"78",78,"C73",0.247,1,"0","EXP2"
"79",79,"C85",0.574,1,"0","EXP2"
"80",80,"C89",0.232,1,"0","EXP2"
"81",81,"REF",0.238,1,"0","EXP2"
"82",82,"GSH1",0.223,1,"0","EXP2"
"83",83,"C6",0.223,1,"0","EXP2"
"84",84,"C7",0.217,1,"0","EXP2"
"85",85,"C44",0.203,1,"0","EXP2"
"86",86,"C58",0.211,1,"0","EXP2"
"87",87,"C67",0.225,1,"0","EXP2"
"88",88,"C73",0.226,1,"0","EXP2"
"89",89,"C85",0.249,1,"0","EXP2"
"90",90,"C89",0.227,1,"0","EXP2"
"91",91,"REF",0.216,1,"150","EXP2"
"92",92,"GSH1",0.228,1,"150","EXP2"
"93",93,"C6",0.236,1,"150","EXP2"
"94",94,"C7",0.23,1,"150","EXP2"
"95",95,"C44",0.203,1,"150","EXP2"
"96",96,"C58",0.221,1,"150","EXP2"
"97",97,"C67",0.218,1,"150","EXP2"
"98",98,"C73",0.21,1,"150","EXP2"
"99",99,"C85",0.244,1,"150","EXP2"
"100",100,"C89",0.227,1,"150","EXP2"
"101",101,"REF",0.228,1,"150","EXP2"
"102",102,"GSH1",0.235,1,"150","EXP2"
"103",103,"C6",0.239,1,"150","EXP2"
"104",104,"C7",0.223,1,"150","EXP2"
"105",105,"C44",0.204,1,"150","EXP2"
"106",106,"C58",0.211,1,"150","EXP2"
"107",107,"C67",0.215,1,"150","EXP2"
"108",108,"C73",0.251,1,"150","EXP2"
"109",109,"C85",0.248,1,"150","EXP2"
"110",110,"C89",0.233,1,"150","EXP2"
"111",111,"REF",0.27,1,"150","EXP2"
"112",112,"GSH1",0.282,1,"150","EXP2"
"113",113,"C6",0.273,1,"150","EXP2"
"114",114,"C7",0.302,1,"150","EXP2"
"115",115,"C44",0.252,1,"150","EXP2"
"116",116,"C58",0.247,1,"150","EXP2"
"117",117,"C67",0.285,1,"150","EXP2"
"118",118,"C73",0.552,1,"150","EXP2"
"119",119,"C85",0.301,1,"150","EXP2"
"120",120,"C89",0.304,1,"150","EXP2"
"121",121,"REF",1.339,1,"0","EXP3"
"122",122,"GSH1",0.384,1,"0","EXP3"
"123",123,"C6",0.152,1,"0","EXP3"
"124",124,"C7",1.317,1,"0","EXP3"
"125",125,"C44",0.171,1,"0","EXP3"
"126",126,"C58",0.165,1,"0","EXP3"
"127",127,"C67",0.162,1,"0","EXP3"
"128",128,"C73",0.143,1,"0","EXP3"
"129",129,"C85",0.154,1,"0","EXP3"
"130",130,"C89",0.135,1,"0","EXP3"
"131",131,"REF",0.748,1,"0","EXP3"
"132",132,"GSH1",0.14,1,"0","EXP3"
"133",133,"C6",0.17,1,"0","EXP3"
"134",134,"C7",1.139,1,"0","EXP3"
"135",135,"C44",0.596,1,"0","EXP3"
"136",136,"C58",0.216,1,"0","EXP3"
"137",137,"C67",0.323,1,"0","EXP3"
"138",138,"C73",0.154,1,"0","EXP3"
"139",139,"C85",0.152,1,"0","EXP3"
"140",140,"C89",0.14,1,"0","EXP3"
"141",141,"REF",0.149,1,"0","EXP3"
"142",142,"GSH1",0.855,1,"0","EXP3"
"143",143,"C6",0.144,1,"0","EXP3"
"144",144,"C7",0.144,1,"0","EXP3"
"145",145,"C44",0.945,1,"0","EXP3"
"146",146,"C58",0.305,1,"0","EXP3"
"147",147,"C67",0.27,1,"0","EXP3"
"148",148,"C73",0.15,1,"0","EXP3"
"149",149,"C85",0.31,1,"0","EXP3"
"150",150,"C89",0.143,1,"0","EXP3"
"151",151,"REF",0.148,1,"150","EXP3"
"152",152,"GSH1",0.156,1,"150","EXP3"
"153",153,"C6",0.371,1,"150","EXP3"
"154",154,"C7",0.147,1,"150","EXP3"
"155",155,"C44",0.15,1,"150","EXP3"
"156",156,"C58",0.602,1,"150","EXP3"
"157",157,"C67",0.172,1,"150","EXP3"
"158",158,"C73",0.148,1,"150","EXP3"
"159",159,"C85",0.664,1,"150","EXP3"
"160",160,"C89",0.149,1,"150","EXP3"
