"","X.1","X","pop","abs","tempo","conc","experiment","abs_norm","n_base","n_parasitos"
"1",1,1,"REF",0.272,1,0,"EXP1",0.3144,5e+05,5e+05
"2",2,2,"GSH1",0.254,1,0,"EXP1",0.276733333333333,5e+05,5e+05
"3",3,3,"C6",0.258,1,0,"EXP1",0.282933333333333,5e+05,5e+05
"4",4,4,"C7",0.259,1,0,"EXP1",0.281,5e+05,5e+05
"5",5,5,"C44",0.541,1,0,"EXP1",0.2962,5e+05,5e+05
"6",6,6,"C58",0.251,1,0,"EXP1",0.276266666666667,5e+05,5e+05
"7",7,7,"C67",0.265,1,0,"EXP1",0.311266666666667,5e+05,5e+05
"8",8,8,"C73",0.245,1,0,"EXP1",0.275066666666667,5e+05,5e+05
"9",9,9,"C85",0.251,1,0,"EXP1",0.1872,5e+05,5e+05
"10",10,10,"C89",0.254,1,0,"EXP1",0.288933333333333,5e+05,5e+05
"11",11,11,"REF",0.271,1,0,"EXP1",0.3144,5e+05,5e+05
"12",12,12,"GSH1",0.263,1,0,"EXP1",0.276733333333333,5e+05,5e+05
"13",13,13,"C6",0.238,1,0,"EXP1",0.282933333333333,5e+05,5e+05
"14",14,14,"C7",0.255,1,0,"EXP1",0.281,5e+05,5e+05
"15",15,15,"C44",0.263,1,0,"EXP1",0.2962,5e+05,5e+05
"16",16,16,"C58",0.248,1,0,"EXP1",0.276266666666667,5e+05,5e+05
"17",17,17,"C67",0.311,1,0,"EXP1",0.311266666666667,5e+05,5e+05
"18",18,18,"C73",0.253,1,0,"EXP1",0.275066666666667,5e+05,5e+05
"19",19,19,"C85",0.252,1,0,"EXP1",0.1872,5e+05,5e+05
"20",20,20,"C89",0.253,1,0,"EXP1",0.288933333333333,5e+05,5e+05
"21",21,21,"REF",0.277,1,0,"EXP1",0.3144,5e+05,5e+05
"22",22,22,"GSH1",0.244,1,0,"EXP1",0.276733333333333,5e+05,5e+05
"23",23,23,"C6",0.251,1,0,"EXP1",0.282933333333333,5e+05,5e+05
"24",24,24,"C7",0.253,1,0,"EXP1",0.281,5e+05,5e+05
"25",25,25,"C44",0.255,1,0,"EXP1",0.2962,5e+05,5e+05
"26",26,26,"C58",0.264,1,0,"EXP1",0.276266666666667,5e+05,5e+05
"27",27,27,"C67",0.289,1,0,"EXP1",0.311266666666667,5e+05,5e+05
"28",28,28,"C73",0.275,1,0,"EXP1",0.275066666666667,5e+05,5e+05
"29",29,29,"C85",0.252,1,0,"EXP1",0.1872,5e+05,5e+05
"30",30,30,"C89",0.202,1,0,"EXP1",0.288933333333333,5e+05,5e+05
"31",31,31,"REF",0.277,1,150,"EXP1",0.226266666666667,5e+05,5e+05
"32",32,32,"GSH1",0.254,1,150,"EXP1",0.214266666666667,5e+05,5e+05
"33",33,33,"C6",0.27,1,150,"EXP1",0.2094,5e+05,5e+05
"34",34,34,"C7",0.285,1,150,"EXP1",0.209333333333333,5e+05,5e+05
"35",35,35,"C44",0.283,1,150,"EXP1",0.208466666666667,5e+05,5e+05
"36",36,36,"C58",0.276,1,150,"EXP1",0.2056,5e+05,5e+05
"37",37,37,"C67",0.274,1,150,"EXP1",0.211666666666667,5e+05,5e+05
"38",38,38,"C73",0.279,1,150,"EXP1",0.2082,5e+05,5e+05
"39",39,39,"C85",0.283,1,150,"EXP1",0.1958,5e+05,5e+05
"40",40,40,"C89",0.22,1,150,"EXP1",0.203666666666667,5e+05,5e+05
"41",41,41,"REF",0.298,1,150,"EXP1",0.226266666666667,5e+05,5e+05
"42",42,42,"GSH1",0.276,1,150,"EXP1",0.214266666666667,5e+05,5e+05
"43",43,43,"C6",0.279,1,150,"EXP1",0.2094,5e+05,5e+05
"44",44,44,"C7",0.296,1,150,"EXP1",0.209333333333333,5e+05,5e+05
"45",45,45,"C44",0.312,1,150,"EXP1",0.208466666666667,5e+05,5e+05
"46",46,46,"C58",0.298,1,150,"EXP1",0.2056,5e+05,5e+05
"47",47,47,"C67",0.293,1,150,"EXP1",0.211666666666667,5e+05,5e+05
